SessionID,UserID,Timestamp,PageType,DeviceType,Country,ReferralSource,TimeOnPage_seconds,ItemsInCart,Purchased
session_19,user_2000,15-04-2025 22:13,home,Tablet,USA,Email,150,0,0
session_19,user_2000,15-04-2025 22:14,product_page,Tablet,USA,Email,34,4,0
session_20,user_2182,18-03-2025 04:06,home,Desktop,Canada,Direct,119,0,0
session_20,user_2182,18-03-2025 04:07,product_page,Desktop,Canada,Direct,84,0,0
session_21,user_2035,14-02-2025 06:39,home,Tablet,Australia,Google,32,0,0
session_21,user_2035,14-02-2025 06:40,product_page,Tablet,Australia,Google,75,5,0
session_22,user_2046,24-02-2025 18:32,home,Desktop,UK,Social Media,167,0,0
session_23,user_2546,18-04-2025 05:34,home,Tablet,France,Direct,63,0,1
session_23,user_2546,18-04-2025 05:36,product_page,Tablet,France,Direct,149,4,1
session_23,user_2546,18-04-2025 05:39,cart,Tablet,France,Direct,176,4,1
session_23,user_2546,18-04-2025 05:41,checkout,Tablet,France,Direct,93,4,1
session_23,user_2546,18-04-2025 05:42,confirmation,Tablet,France,Direct,78,0,1
session_24,user_2666,29-05-2025 02:09,home,Desktop,France,Google,20,0,0
session_24,user_2666,29-05-2025 02:10,product_page,Desktop,France,Google,89,0,0
session_25,user_1143,06-05-2025 03:32,home,Tablet,USA,Google,151,0,0
session_25,user_1143,06-05-2025 03:35,product_page,Tablet,USA,Google,180,3,0
session_26,user_2067,09-05-2025 15:42,home,Desktop,France,Social Media,69,0,0
session_26,user_2067,09-05-2025 15:42,product_page,Desktop,France,Social Media,33,0,0
session_27,user_1310,19-03-2025 23:40,home,Mobile,Australia,Email,131,0,0
session_28,user_1758,26-08-2025 05:06,home,Mobile,Germany,Google,141,0,0
session_29,user_2181,12-04-2025 13:30,home,Tablet,India,Social Media,136,0,0
session_29,user_2181,12-04-2025 13:32,product_page,Tablet,India,Social Media,123,0,0
session_30,user_1114,10-08-2025 18:55,home,Tablet,France,Social Media,108,0,0
session_30,user_1114,10-08-2025 18:58,product_page,Tablet,France,Social Media,141,1,0
session_31,user_2282,22-04-2025 07:00,home,Mobile,Germany,Email,115,0,0
session_31,user_2282,22-04-2025 07:01,product_page,Mobile,Germany,Email,47,4,0
session_32,user_1995,09-08-2025 19:10,home,Desktop,Germany,Email,35,0,0
session_33,user_1580,07-07-2025 00:26,home,Desktop,UK,Direct,55,0,0
session_33,user_1580,07-07-2025 00:28,product_page,Desktop,UK,Direct,128,5,0
session_34,user_1912,09-08-2025 14:02,home,Tablet,USA,Google,84,0,1
session_34,user_1912,09-08-2025 14:04,product_page,Tablet,USA,Google,118,0,1
session_34,user_1912,09-08-2025 14:07,cart,Tablet,USA,Google,166,0,1
session_34,user_1912,09-08-2025 14:08,checkout,Tablet,USA,Google,57,1,1
session_34,user_1912,09-08-2025 14:10,confirmation,Tablet,USA,Google,140,0,1
session_35,user_2872,23-06-2025 22:52,home,Mobile,USA,Social Media,119,0,0
session_35,user_2872,23-06-2025 22:53,product_page,Mobile,USA,Social Media,93,0,0
session_36,user_1983,12-07-2025 08:13,home,Tablet,Canada,Direct,163,0,0
session_36,user_1983,12-07-2025 08:15,product_page,Tablet,Canada,Direct,121,2,0
session_37,user_1099,21-03-2025 12:20,home,Mobile,Australia,Direct,119,0,0
session_37,user_1099,21-03-2025 12:22,product_page,Mobile,Australia,Direct,174,1,0
session_37,user_1099,21-03-2025 12:24,cart,Mobile,Australia,Direct,95,1,0
session_37,user_1099,21-03-2025 12:26,checkout,Mobile,Australia,Direct,97,1,0
session_38,user_1563,02-05-2025 01:18,home,Desktop,Germany,Google,148,0,0
session_39,user_1524,30-05-2025 00:12,home,Desktop,India,Google,173,0,1
session_39,user_1524,30-05-2025 00:12,product_page,Desktop,India,Google,27,3,1
session_39,user_1524,30-05-2025 00:14,cart,Desktop,India,Google,114,3,1
session_39,user_1524,30-05-2025 00:15,checkout,Desktop,India,Google,43,3,1
session_39,user_1524,30-05-2025 00:15,confirmation,Desktop,India,Google,46,0,1
session_40,user_1626,18-02-2025 11:25,home,Tablet,UK,Direct,162,0,0
session_40,user_1626,18-02-2025 11:27,product_page,Tablet,UK,Direct,95,0,0
session_40,user_1626,18-02-2025 11:27,cart,Tablet,UK,Direct,30,4,0
session_40,user_1626,18-02-2025 11:29,checkout,Tablet,UK,Direct,85,4,0
session_41,user_2521,21-05-2025 01:00,home,Desktop,India,Social Media,166,0,0
session_42,user_1086,05-04-2025 02:30,home,Desktop,Australia,Social Media,94,0,0
session_43,user_1200,04-05-2025 23:24,home,Desktop,UK,Google,114,0,0
session_43,user_1200,04-05-2025 23:27,product_page,Desktop,UK,Google,177,4,0
session_44,user_1390,10-03-2025 08:18,home,Desktop,Australia,Email,39,0,0
session_45,user_1121,07-08-2025 00:20,home,Mobile,USA,Google,25,0,0
session_46,user_2865,11-07-2025 01:55,home,Mobile,Germany,Social Media,80,0,0
session_47,user_2673,13-04-2025 09:15,home,Desktop,UK,Email,32,0,1
session_47,user_2673,13-04-2025 09:16,product_page,Desktop,UK,Email,92,0,1
session_47,user_2673,13-04-2025 09:18,cart,Desktop,UK,Email,133,1,1
session_47,user_2673,13-04-2025 09:20,checkout,Desktop,UK,Email,102,1,1
session_47,user_2673,13-04-2025 09:23,confirmation,Desktop,UK,Email,150,0,1
session_48,user_1035,04-02-2025 00:57,home,Desktop,Australia,Social Media,152,0,0
session_48,user_1035,04-02-2025 00:57,product_page,Desktop,Australia,Social Media,46,2,0
session_49,user_1439,04-06-2025 19:27,home,Tablet,USA,Email,124,0,1
session_49,user_1439,04-06-2025 19:30,product_page,Tablet,USA,Email,146,2,1
session_49,user_1439,04-06-2025 19:31,cart,Tablet,USA,Email,91,2,1
session_49,user_1439,04-06-2025 19:33,checkout,Tablet,USA,Email,78,2,1
session_49,user_1439,04-06-2025 19:33,confirmation,Tablet,USA,Email,37,0,1
session_50,user_1609,27-06-2025 16:43,home,Mobile,UK,Direct,129,0,0
session_50,user_1609,27-06-2025 16:45,product_page,Mobile,UK,Direct,138,0,0
session_51,user_2808,21-08-2025 18:07,home,Desktop,France,Social Media,82,0,1
session_51,user_2808,21-08-2025 18:10,product_page,Desktop,France,Social Media,167,0,1
session_51,user_2808,21-08-2025 18:11,cart,Desktop,France,Social Media,61,5,1
session_51,user_2808,21-08-2025 18:13,checkout,Desktop,France,Social Media,120,5,1
session_51,user_2808,21-08-2025 18:15,confirmation,Desktop,France,Social Media,133,0,1
session_52,user_1532,09-06-2025 14:55,home,Tablet,Canada,Social Media,106,0,0
session_52,user_1532,09-06-2025 14:57,product_page,Tablet,Canada,Social Media,123,0,0
session_53,user_2816,24-01-2025 13:06,home,Desktop,India,Email,19,0,0
session_54,user_1856,15-07-2025 22:13,home,Desktop,India,Email,146,0,0
session_54,user_1856,15-07-2025 22:13,product_page,Desktop,India,Email,26,4,0
session_55,user_2771,18-02-2025 14:01,home,Tablet,UK,Google,66,0,0
session_55,user_2771,18-02-2025 14:02,product_page,Tablet,UK,Google,60,0,0
session_56,user_1425,17-03-2025 06:59,home,Tablet,USA,Direct,79,0,0
session_56,user_1425,17-03-2025 07:00,product_page,Tablet,USA,Direct,80,4,0
session_57,user_1979,03-06-2025 13:56,home,Mobile,Germany,Social Media,147,0,1
session_57,user_1979,03-06-2025 13:56,product_page,Mobile,Germany,Social Media,34,0,1
session_57,user_1979,03-06-2025 13:58,cart,Mobile,Germany,Social Media,114,2,1
session_57,user_1979,03-06-2025 13:59,checkout,Mobile,Germany,Social Media,67,2,1
session_57,user_1979,03-06-2025 14:00,confirmation,Mobile,Germany,Social Media,37,0,1
session_58,user_2596,16-02-2025 17:27,home,Mobile,UK,Email,94,0,0
session_59,user_2950,10-07-2025 21:44,home,Desktop,Australia,Email,69,0,0
session_59,user_2950,10-07-2025 21:47,product_page,Desktop,Australia,Email,171,0,0
session_60,user_2486,09-05-2025 13:10,home,Desktop,USA,Email,128,0,0
session_61,user_1519,01-03-2025 18:53,home,Desktop,Germany,Social Media,133,0,0
session_61,user_1519,01-03-2025 18:54,product_page,Desktop,Germany,Social Media,72,2,0
session_62,user_2282,30-08-2025 13:35,home,Desktop,Germany,Email,31,0,0
session_62,user_2282,30-08-2025 13:36,product_page,Desktop,Germany,Email,78,2,0
session_63,user_2012,14-08-2025 15:12,home,Desktop,India,Social Media,134,0,1
session_63,user_2012,14-08-2025 15:13,product_page,Desktop,India,Social Media,55,5,1
session_63,user_2012,14-08-2025 15:14,cart,Desktop,India,Social Media,74,5,1
session_63,user_2012,14-08-2025 15:16,checkout,Desktop,India,Social Media,128,5,1
session_63,user_2012,14-08-2025 15:16,confirmation,Desktop,India,Social Media,24,0,1
session_64,user_1412,06-01-2025 22:18,home,Tablet,Canada,Direct,80,0,0
session_64,user_1412,06-01-2025 22:18,product_page,Tablet,Canada,Direct,19,0,0
session_64,user_1412,06-01-2025 22:19,cart,Tablet,Canada,Direct,45,0,0
session_65,user_2277,05-03-2025 19:49,home,Tablet,India,Google,153,0,1
session_65,user_2277,05-03-2025 19:49,product_page,Tablet,India,Google,29,1,1
session_65,user_2277,05-03-2025 19:52,cart,Tablet,India,Google,158,1,1
session_65,user_2277,05-03-2025 19:55,checkout,Tablet,India,Google,162,1,1
session_65,user_2277,05-03-2025 19:57,confirmation,Tablet,India,Google,135,0,1
session_66,user_2279,17-03-2025 04:23,home,Mobile,UK,Social Media,69,0,0
session_66,user_2279,17-03-2025 04:24,product_page,Mobile,UK,Social Media,75,2,0
session_67,user_2199,20-05-2025 22:42,home,Mobile,UK,Direct,44,0,0
session_67,user_2199,20-05-2025 22:43,product_page,Mobile,UK,Direct,86,4,0
session_68,user_2502,02-02-2025 23:11,home,Desktop,Germany,Social Media,17,0,1
session_68,user_2502,02-02-2025 23:11,product_page,Desktop,Germany,Social Media,38,0,1
session_68,user_2502,02-02-2025 23:12,cart,Desktop,Germany,Social Media,21,0,1
session_68,user_2502,02-02-2025 23:12,checkout,Desktop,Germany,Social Media,17,2,1
session_68,user_2502,02-02-2025 23:15,confirmation,Desktop,Germany,Social Media,172,0,1
session_69,user_2266,07-08-2025 15:18,home,Mobile,France,Social Media,27,0,0
session_69,user_2266,07-08-2025 15:20,product_page,Mobile,France,Social Media,144,0,0
session_70,user_2567,27-02-2025 02:03,home,Tablet,Australia,Email,28,0,1
session_70,user_2567,27-02-2025 02:06,product_page,Tablet,Australia,Email,124,5,1
session_70,user_2567,27-02-2025 02:06,cart,Tablet,Australia,Email,27,5,1
session_70,user_2567,27-02-2025 02:09,checkout,Tablet,Australia,Email,154,5,1
session_70,user_2567,27-02-2025 02:09,confirmation,Tablet,Australia,Email,29,0,1
session_71,user_2262,03-02-2025 02:46,home,Mobile,Canada,Social Media,54,0,1
session_71,user_2262,03-02-2025 02:46,product_page,Mobile,Canada,Social Media,44,0,1
session_71,user_2262,03-02-2025 02:47,cart,Mobile,Canada,Social Media,72,0,1
session_71,user_2262,03-02-2025 02:48,checkout,Mobile,Canada,Social Media,33,3,1
session_71,user_2262,03-02-2025 02:49,confirmation,Mobile,Canada,Social Media,90,0,1
session_72,user_1285,14-06-2025 11:02,home,Desktop,France,Direct,149,0,1
session_72,user_1285,14-06-2025 11:04,product_page,Desktop,France,Direct,126,2,1
session_72,user_1285,14-06-2025 11:06,cart,Desktop,France,Direct,132,2,1
session_72,user_1285,14-06-2025 11:07,checkout,Desktop,France,Direct,91,2,1
session_72,user_1285,14-06-2025 11:09,confirmation,Desktop,France,Direct,121,0,1
session_73,user_2436,15-01-2025 00:15,home,Desktop,Germany,Email,100,0,0
session_73,user_2436,15-01-2025 00:17,product_page,Desktop,Germany,Email,111,0,0
session_74,user_2826,13-03-2025 16:04,home,Mobile,Germany,Google,77,0,0
session_74,user_2826,13-03-2025 16:06,product_page,Mobile,Germany,Google,170,0,0
session_75,user_1091,11-03-2025 08:11,home,Desktop,Canada,Email,139,0,0
session_76,user_2594,24-08-2025 23:07,home,Desktop,USA,Email,131,0,0
session_77,user_1718,26-06-2025 15:44,home,Mobile,Australia,Social Media,37,0,0
session_77,user_1718,26-06-2025 15:47,product_page,Mobile,Australia,Social Media,131,0,0
session_78,user_1621,01-08-2025 08:20,home,Mobile,USA,Social Media,164,0,0
session_78,user_1621,01-08-2025 08:23,product_page,Mobile,USA,Social Media,128,2,0
session_79,user_2810,13-07-2025 02:29,home,Desktop,Canada,Social Media,151,0,0
session_79,user_2810,13-07-2025 02:30,product_page,Desktop,Canada,Social Media,62,4,0
session_80,user_2022,12-03-2025 13:18,home,Mobile,Australia,Social Media,121,0,0
session_80,user_2022,12-03-2025 13:19,product_page,Mobile,Australia,Social Media,73,1,0
session_81,user_2467,10-01-2025 01:15,home,Desktop,Germany,Direct,108,0,0
session_81,user_2467,10-01-2025 01:15,product_page,Desktop,Germany,Direct,30,0,0
session_82,user_1453,24-01-2025 22:09,home,Mobile,France,Google,179,0,0
session_82,user_1453,24-01-2025 22:12,product_page,Mobile,France,Google,167,0,0
session_83,user_1577,01-08-2025 15:43,home,Tablet,Australia,Direct,114,0,0
session_83,user_1577,01-08-2025 15:43,product_page,Tablet,Australia,Direct,48,4,0
session_83,user_1577,01-08-2025 15:44,cart,Tablet,Australia,Direct,24,4,0
session_84,user_1264,19-04-2025 11:59,home,Desktop,France,Email,132,0,1
session_84,user_1264,19-04-2025 12:01,product_page,Desktop,France,Email,110,5,1
session_84,user_1264,19-04-2025 12:02,cart,Desktop,France,Email,24,5,1
session_84,user_1264,19-04-2025 12:02,checkout,Desktop,France,Email,25,5,1
session_84,user_1264,19-04-2025 12:02,confirmation,Desktop,France,Email,28,0,1
session_85,user_1202,09-05-2025 07:33,home,Mobile,USA,Email,40,0,0
session_85,user_1202,09-05-2025 07:34,product_page,Mobile,USA,Email,54,5,0
session_86,user_1961,31-07-2025 15:29,home,Mobile,India,Direct,166,0,0
session_86,user_1961,31-07-2025 15:30,product_page,Mobile,India,Direct,63,3,0
session_87,user_1343,17-07-2025 04:23,home,Tablet,India,Email,56,0,0
session_87,user_1343,17-07-2025 04:26,product_page,Tablet,India,Email,165,2,0
session_88,user_2109,29-04-2025 10:09,home,Desktop,France,Social Media,163,0,0
session_88,user_2109,29-04-2025 10:10,product_page,Desktop,France,Social Media,73,2,0
session_88,user_2109,29-04-2025 10:11,cart,Desktop,France,Social Media,18,2,0
session_89,user_1300,21-03-2025 17:21,home,Mobile,France,Direct,74,0,1
session_89,user_1300,21-03-2025 17:21,product_page,Mobile,France,Direct,50,1,1
session_89,user_1300,21-03-2025 17:24,cart,Mobile,France,Direct,153,1,1
session_89,user_1300,21-03-2025 17:26,checkout,Mobile,France,Direct,111,1,1
session_89,user_1300,21-03-2025 17:29,confirmation,Mobile,France,Direct,164,0,1
session_90,user_2621,22-06-2025 16:00,home,Tablet,Germany,Google,28,0,0
session_90,user_2621,22-06-2025 16:02,product_page,Tablet,Germany,Google,138,5,0
session_90,user_2621,22-06-2025 16:05,cart,Tablet,Germany,Google,157,5,0
session_91,user_2705,20-02-2025 19:25,home,Desktop,France,Social Media,116,0,0
session_92,user_2740,30-01-2025 07:01,home,Mobile,UK,Email,17,0,0
session_92,user_2740,30-01-2025 07:02,product_page,Mobile,UK,Email,16,2,0
session_92,user_2740,30-01-2025 07:04,cart,Mobile,UK,Email,139,2,0
session_93,user_2540,16-01-2025 17:17,home,Desktop,India,Google,55,0,1
session_93,user_2540,16-01-2025 17:18,product_page,Desktop,India,Google,112,1,1
session_93,user_2540,16-01-2025 17:20,cart,Desktop,India,Google,93,1,1
session_93,user_2540,16-01-2025 17:23,checkout,Desktop,India,Google,173,1,1
session_93,user_2540,16-01-2025 17:25,confirmation,Desktop,India,Google,124,0,1
session_94,user_1022,19-01-2025 20:17,home,Mobile,Germany,Google,142,0,0
session_95,user_2381,03-03-2025 09:26,home,Mobile,Australia,Direct,136,0,0
session_95,user_2381,03-03-2025 09:28,product_page,Mobile,Australia,Direct,118,4,0
session_96,user_2993,07-03-2025 01:58,home,Desktop,Australia,Google,109,0,0
session_96,user_2993,07-03-2025 01:58,product_page,Desktop,Australia,Google,22,0,0
session_96,user_2993,07-03-2025 01:59,cart,Desktop,Australia,Google,57,3,0
session_97,user_2713,01-01-2025 20:58,home,Tablet,Germany,Email,90,0,0
session_97,user_2713,01-01-2025 20:59,product_page,Tablet,Germany,Email,28,2,0
session_98,user_1729,22-03-2025 04:55,home,Tablet,Canada,Social Media,94,0,0
session_98,user_1729,22-03-2025 04:56,product_page,Tablet,Canada,Social Media,60,1,0
session_98,user_1729,22-03-2025 04:57,cart,Tablet,Canada,Social Media,72,1,0
session_99,user_2300,18-08-2025 05:49,home,Mobile,USA,Direct,118,0,1
session_99,user_2300,18-08-2025 05:51,product_page,Mobile,USA,Direct,128,0,1
session_99,user_2300,18-08-2025 05:51,cart,Mobile,USA,Direct,29,4,1
session_99,user_2300,18-08-2025 05:52,checkout,Mobile,USA,Direct,49,4,1
session_99,user_2300,18-08-2025 05:55,confirmation,Mobile,USA,Direct,169,0,1
session_100,user_1233,02-04-2025 11:24,home,Desktop,USA,Email,36,0,0
session_100,user_1233,02-04-2025 11:25,product_page,Desktop,USA,Email,65,1,0
session_101,user_1984,14-04-2025 06:47,home,Mobile,France,Direct,128,0,1
session_101,user_1984,14-04-2025 06:47,product_page,Mobile,France,Direct,42,0,1
session_101,user_1984,14-04-2025 06:49,cart,Mobile,France,Direct,102,0,1
session_101,user_1984,14-04-2025 06:51,checkout,Mobile,France,Direct,117,2,1
session_101,user_1984,14-04-2025 06:54,confirmation,Mobile,France,Direct,175,0,1
session_102,user_1480,12-02-2025 23:06,home,Desktop,Australia,Direct,69,0,0
session_102,user_1480,12-02-2025 23:08,product_page,Desktop,Australia,Direct,143,0,0
session_103,user_2791,10-01-2025 20:14,home,Desktop,France,Social Media,90,0,0
session_103,user_2791,10-01-2025 20:15,product_page,Desktop,France,Social Media,58,3,0
session_104,user_2754,22-07-2025 13:46,home,Tablet,UK,Social Media,15,0,0
session_104,user_2754,22-07-2025 13:46,product_page,Tablet,UK,Social Media,39,4,0
session_105,user_2525,28-02-2025 20:54,home,Mobile,Canada,Social Media,66,0,0
session_105,user_2525,28-02-2025 20:57,product_page,Mobile,Canada,Social Media,133,2,0
session_106,user_1524,26-01-2025 20:08,home,Desktop,UK,Google,139,0,0
session_106,user_1524,26-01-2025 20:09,product_page,Desktop,UK,Google,66,1,0
session_107,user_2173,02-01-2025 05:30,home,Mobile,UK,Email,15,0,0
session_107,user_2173,02-01-2025 05:30,product_page,Mobile,UK,Email,30,0,0
session_108,user_2167,21-02-2025 13:57,home,Mobile,Canada,Email,47,0,0
session_108,user_2167,21-02-2025 13:58,product_page,Mobile,Canada,Email,50,5,0
session_109,user_1774,30-07-2025 14:11,home,Mobile,Canada,Google,149,0,1
session_109,user_1774,30-07-2025 14:12,product_page,Mobile,Canada,Google,32,0,1
session_109,user_1774,30-07-2025 14:14,cart,Mobile,Canada,Google,172,2,1
session_109,user_1774,30-07-2025 14:17,checkout,Mobile,Canada,Google,141,2,1
session_109,user_1774,30-07-2025 14:17,confirmation,Mobile,Canada,Google,42,0,1
session_110,user_2713,30-01-2025 08:29,home,Tablet,Canada,Direct,35,0,1
session_110,user_2713,30-01-2025 08:30,product_page,Tablet,Canada,Direct,64,3,1
session_110,user_2713,30-01-2025 08:31,cart,Tablet,Canada,Direct,54,3,1
session_110,user_2713,30-01-2025 08:33,checkout,Tablet,Canada,Direct,142,3,1
session_110,user_2713,30-01-2025 08:34,confirmation,Tablet,Canada,Direct,50,0,1
session_111,user_2430,27-08-2025 10:04,home,Desktop,Germany,Email,45,0,0
session_111,user_2430,27-08-2025 10:05,product_page,Desktop,Germany,Email,71,0,0
session_112,user_2488,22-06-2025 06:14,home,Tablet,Canada,Social Media,129,0,0
session_112,user_2488,22-06-2025 06:15,product_page,Tablet,Canada,Social Media,72,3,0
session_113,user_1030,24-01-2025 01:46,home,Tablet,UK,Email,21,0,0
session_113,user_1030,24-01-2025 01:48,product_page,Tablet,UK,Email,121,4,0
session_114,user_2803,07-03-2025 16:44,home,Mobile,Germany,Email,79,0,0
session_114,user_2803,07-03-2025 16:45,product_page,Mobile,Germany,Email,22,0,0
session_115,user_2619,17-04-2025 22:20,home,Tablet,UK,Direct,80,0,0
session_115,user_2619,17-04-2025 22:21,product_page,Tablet,UK,Direct,66,4,0
session_116,user_1385,09-08-2025 08:34,home,Tablet,Germany,Email,162,0,0
session_116,user_1385,09-08-2025 08:35,product_page,Tablet,Germany,Email,44,0,0
session_117,user_1679,04-05-2025 20:49,home,Tablet,UK,Social Media,139,0,0
session_117,user_1679,04-05-2025 20:51,product_page,Tablet,UK,Social Media,170,0,0
session_118,user_2114,10-02-2025 09:54,home,Mobile,USA,Direct,39,0,0
session_118,user_2114,10-02-2025 09:57,product_page,Mobile,USA,Direct,171,0,0
session_119,user_2996,06-08-2025 05:01,home,Tablet,UK,Social Media,119,0,1
session_119,user_2996,06-08-2025 05:03,product_page,Tablet,UK,Social Media,132,5,1
session_119,user_2996,06-08-2025 05:06,cart,Tablet,UK,Social Media,163,5,1
session_119,user_2996,06-08-2025 05:09,checkout,Tablet,UK,Social Media,148,5,1
session_119,user_2996,06-08-2025 05:12,confirmation,Tablet,UK,Social Media,177,0,1
session_120,user_1976,04-07-2025 20:22,home,Mobile,Germany,Social Media,126,0,1
session_120,user_1976,04-07-2025 20:24,product_page,Mobile,Germany,Social Media,161,1,1
session_120,user_1976,04-07-2025 20:26,cart,Mobile,Germany,Social Media,108,1,1
session_120,user_1976,04-07-2025 20:27,checkout,Mobile,Germany,Social Media,88,1,1
session_120,user_1976,04-07-2025 20:30,confirmation,Mobile,Germany,Social Media,158,0,1
session_121,user_2762,22-03-2025 20:52,home,Tablet,Germany,Email,168,0,0
session_121,user_2762,22-03-2025 20:52,product_page,Tablet,Germany,Email,40,1,0
session_121,user_2762,22-03-2025 20:54,cart,Tablet,Germany,Email,95,1,0
session_122,user_2875,14-04-2025 17:49,home,Desktop,UK,Google,158,0,0
session_122,user_2875,14-04-2025 17:50,product_page,Desktop,UK,Google,42,5,0
session_123,user_2142,31-05-2025 18:23,home,Mobile,Canada,Social Media,43,0,0
session_123,user_2142,31-05-2025 18:23,product_page,Mobile,Canada,Social Media,22,0,0
session_124,user_1156,10-07-2025 12:27,home,Desktop,Germany,Social Media,45,0,1
session_124,user_1156,10-07-2025 12:29,product_page,Desktop,Germany,Social Media,168,0,1
session_124,user_1156,10-07-2025 12:30,cart,Desktop,Germany,Social Media,39,0,1
session_124,user_1156,10-07-2025 12:32,checkout,Desktop,Germany,Social Media,108,2,1
session_124,user_1156,10-07-2025 12:33,confirmation,Desktop,Germany,Social Media,91,0,1
session_125,user_1471,16-04-2025 21:41,home,Tablet,India,Email,129,0,0
session_125,user_1471,16-04-2025 21:43,product_page,Tablet,India,Email,119,3,0
session_126,user_2713,04-04-2025 21:24,home,Mobile,USA,Direct,76,0,0
session_127,user_2168,02-07-2025 12:04,home,Tablet,India,Email,90,0,0
session_127,user_2168,02-07-2025 12:07,product_page,Tablet,India,Email,171,2,0
session_127,user_2168,02-07-2025 12:09,cart,Tablet,India,Email,169,2,0
session_128,user_2126,09-06-2025 20:30,home,Desktop,UK,Direct,57,0,1
session_128,user_2126,09-06-2025 20:32,product_page,Desktop,UK,Direct,99,0,1
session_128,user_2126,09-06-2025 20:32,cart,Desktop,UK,Direct,15,0,1
session_128,user_2126,09-06-2025 20:33,checkout,Desktop,UK,Direct,69,3,1
session_128,user_2126,09-06-2025 20:33,confirmation,Desktop,UK,Direct,23,0,1
session_129,user_2755,11-04-2025 17:04,home,Desktop,UK,Direct,166,0,0
session_129,user_2755,11-04-2025 17:05,product_page,Desktop,UK,Direct,55,0,0
session_130,user_1595,24-03-2025 20:29,home,Desktop,Germany,Social Media,157,0,1
session_130,user_1595,24-03-2025 20:30,product_page,Desktop,Germany,Social Media,53,4,1
session_130,user_1595,24-03-2025 20:31,cart,Desktop,Germany,Social Media,38,4,1
